isbn,title,author,category,sub_category,description,publisher,year_of_publication,language,num_pages,img_link
0316182540,White Oleander: A Novel,Janet Fitch,Literary,Literature & Fiction,"When Astrid's mother, a beautiful, headstrong poet, murders a former lover and is imprisoned for life, Astrid becomes one of the thousands of foster children in Los Angeles. As she navigates this new reality, Astrid finds strength in her unshakable certainty of her own worth and her unfettered sense of the absurd.Read more","Little, Brown and Company 0 edition ",2001,English,496,"https://images-na.ssl-images-amazon.com/images/I/51kOK5XhytL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312983867,"Hard Eight (Stephanie Plum, No. 8) (Stephanie Plum Novels)",Janet Evanovich,Action & Adventure,Literature & Fiction,"The #1 bestselling phenomenon continues in the eighth Stephanie Plum novel. The stakes get higher, the crimes get nastier, the chases get faster, and the men get hotter.This time Stephanie, Morelli, Ranger. Lula, Valerie, and Grandma Mazur are strapped in for the ride of their lives. Stephanie is hired to find a missing child. But things aren't always as they seem and Stephanie must determine if she's working for the right side of the law. Plus, there's the Morelli question: can a Jersey girl keep her head on straight when more than just bullets are aimed for her heart? And with the Plum and Morelli relationship looking rocky, is it time for Ranger to move in for the kill? Janet Evanovich's latest thriller proves thatHard Eightwill never be enough.Read more",St. Martin's Press ,2003,English,352,"https://images-na.ssl-images-amazon.com/images/I/51BAXvJFfDL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0805211152,The Testament: A novel,Elie Wiesel,Literature & Fiction,Christian Books & Bibles,"On August 12, 1952, Russia's greatest Jewish writers were secretly executed by Stalin. In this remarkable blend of history and imagination, Paltiel Kossover meets the same fate but, unlike his real-life counterparts, he is permitted to leave a written testament. From a Jewish boyhood in pre-revolutionary Russia, Paltiel traveled down a road that embraced Communism, only to return to Russia and discover a Communist Party that had become his mortal enemy. Two decades later, Paltiel's son, Grisha, reads this precious record of his father's life and finds that it illuminates the shadowed planes of his own.Passionate and fierce, this story of a father's legacy to his son revisits some of the most dramatic events of our century, and confirms yet again Elie Wiesel's stature as ""a writer of the highest moral imagination"" (San Francisco Chronicle).Read more",Knopf Doubleday Publishing Group Reprint edition ,1999,English,352,"https://images-na.ssl-images-amazon.com/images/I/51DMK42vZrL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0671001795,"Two for the Dough (Stephanie Plum, No. 2) (Stephanie Plum Novels)",Janet Evanovich,Mystery,"Mystery, Thriller & Suspense","Bounty hunter Stephanie Plum is packing a whole lot of attitude -- not to mention stun guns, defense sprays, and a .38 Smith & Wesson. She's on the trail of Kenny Mancuso, from working-class Trenton, New Jersey, who has just shot his best friend. Fresh out of the army and suspiciously wealthy, Mancuso's also distantly related to Joe Morelli, a vice cop with questionable ethics, a libido in permanent overdrive, and a habit of horning in on Stephanie's investigations. Aided by her tough bounty-hunting pal, Ranger, and her funeral-hopping Grandma Mazur, Stephanie's soon staggering knee-deep in corpses, trying to shake Morelli...and stirring up a very nasty enemy.Read more",Pocket Books ,1996,English,336,"https://images-na.ssl-images-amazon.com/images/I/51VSqTw7haL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312971346,"High Five (Stephanie Plum, No. 5) (Stephanie Plum Novels)",Janet Evanovich,Humor & Satire,Literature & Fiction,"Out of bail skippers and rent money, Stephanie Plum throws caution to the wind and follows in the entrepreneurial bootsteps of Super Bounty Hunter, Ranger, engaging in morally correct and marginally legal enterprises. So, a scumball blows himself to smithereens on her first day of policing a crack house and the sheik she was chauffeuring stole the limo. But hey, nobody's perfect! Anyway, Stephanie has other things on her mind. Her mother wants her to find Uncle Fred who's missing after arguing with his garbage company; homicidal rapist Benito Ramirez is back, quoting scripture and stalking Stephanie; vice cop Joe Morelli has a box of condoms with Stephanie's name on it; and Stephanie's afraid Ranger has his finger on her trigger. The whole gang's here for mirth and mayhem in Janet Evanovich'sHigh Five. Read at your own risk in public places.Read more",St. Martin's Paperbacks ,2000,English,352,"https://images-na.ssl-images-amazon.com/images/I/51A2tFpdsBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312990456,"One for the Money (Stephanie Plum, No. 1)",Janet Evanovich,Mystery,"Mystery, Thriller & Suspense","ONE FINE MESSWelcome to Trenton, New Jersey, home to wiseguys, average Joes, and Stephanie Plum, who sports a big attitude and even bigger money problems (since losing her job as a lingerie buyer for a department store). Stephanie needs cash-fast-but times are tough, and soon she's forced to turn to the last resort of the truly desperate: family...ONE FALSE MOVEStephanie lands a gig at her sleazy cousin Vinnie's bail bonding company. She's got no experience. But that doesn't matter. As does the fact that the bail jumper in question is local vice cop Joe Morelli. From the time he first looked up her dress to the time he first got into her pants, to the time Steph hit him with her father's Buick, M-o-r-e-l-l-i has spelled t-r-o-u-b-l-e. And now the hot guy is in hot water-wanted for murder...ONE FOR THE MONEYAbject poverty is a great motivator for learning new skills, but being trained in the school of hard knocks by people like psycho prizefighter Benito Ramirez isn't. Still, if Stephanie can nab Morelli in a week, she'll make a cool ten grand. All she has to do is become an expert bounty hunter overnight-and keep herself from getting killed before she gets her man...Read more",St. Martin's Press Revised ed. edition ,2003,English,352,"https://images-na.ssl-images-amazon.com/images/I/41RHWXxVldL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0316168815,The Lovely Bones,Alice Sebold,Genre Fiction,Literature & Fiction,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss,The Lovely Bonessucceeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.Read more",Back Bay Books Reprint edition ,2004,English,368,"https://images-na.ssl-images-amazon.com/images/I/41-3yUnI7rL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
044022165X,The Rainmaker,John Grisham,Thrillers & Suspense,"Mystery, Thriller & Suspense","It's summer in Memphis.  The sweat is sticking to Rudy Baylor's shirt and creditors are nipping at his heels.  Once he had aspirations of breezing through law school and punching his ticket to the good life.  Now he doesn't have a job or a prayer...except for one: an insurance dispute that leaves a family devastated and opens the door for a lawsuit, if Rudy can find a way to file it.By the time Rudy gets to court, a heavyweight corporate defense team is there to meet him. And suddenly he's in over his head, plunged into a nightmare of lies and legal maneuverings.  A case that started small is exploding into a thunderous million-dollar war of nerves, skill and outright violence--a fight that could cost one young lawyer his life, or turn him into the biggest rainmaker in the land....Read more",Dell Publishing Company Later Printing Used edition ,1996,English,598,"https://images-na.ssl-images-amazon.com/images/I/41bBn3kW5tL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0767903862,In a Sunburned Country,Bill Bryson,"Writing, Research & Publishing Guides",Reference,"Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. This time in Australia.His previous excursion along the Appalachian Trail resulted in the sublime national bestsellerA Walk in the Woods.In A Sunburned Countryis his report on what he found in an entirely different place: Australia, the country that doubles as a continent, and a place with the friendliest inhabitants, the hottest, driest weather, and the most peculiar and lethal wildlife to be found on the planet. The result is a deliciously funny, fact-filled, and adventurous performance by a writer who combines humor, wonder, and unflagging curiousity.Despite the fact that Australia harbors more things that can kill you in extremely nasty ways than anywhere else, including sharks, crocodiles, snakes, even riptides and deserts, Bill Bryson adores the place, and he takes his readers on a rollicking ride far beyond that beaten tourist path. Wherever he goes he finds Australians who are cheerful, extroverted, and unfailingly obliging, and these beaming products of land with clean, safe cities, cold beer, and constant sunshine fill the pages of this wonderful book.Australia is an immense and fortunate land, and it has found in Bill Bryson its perfect guide.Read more",Crown ,2001,English,352,"https://images-na.ssl-images-amazon.com/images/I/511w+m1L4fL._SY344_BO1,204,203,200_.jpg"
0375431977,The Summons,John Grisham,Thrillers & Suspense,"Mystery, Thriller & Suspense","Ray Atlee is a professor of law at the University of Virginia. He's forty-three, newly single, and still enduring the aftershocks of a surprise divorce. He has a younger brother, Forrest, who redefines the notion of a family's black sheep.And he has a father, a very sick old man who lives alone in the ancestral home in Clanton, Mississippi. He is known to all as Judge Atlee, a beloved and powerful official who has towered over local law and politics for forty years. No longer on the bench, the Judge has withdrawn to the Atlee mansion and become a recluse.With the end in sight, Judge Atlee issues a summons for both sons to return home to Clanton, to discuss the details of his estate. It is typed by the Judge himself, on his handsome old stationery, and gives the date and time for Ray and Forrest to appear in his study.Ray reluctantly heads south, to his hometown, to the place where he grew up, which he prefers now to avoid. But the family meeting does not take place. The Judge dies too soon, and in doing so leaves behind a shocking secret known only to Ray.And perhaps someone else.From the Hardcover edition.Read more",Random House Large Print Large Print edition ,2002,English,464,"https://images-na.ssl-images-amazon.com/images/I/51QDK5C5EQL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345465083,Seabiscuit: An American Legend,Laura Hillenbrand,Individual Sports,Sports & Outdoors,"Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon.Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.From the Hardcover edition.Read more",Ballantine Books 1st edition ,2003,English,480,"https://images-na.ssl-images-amazon.com/images/I/51RpFcmClJL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446675059,The Honk and Holler Opening Soon,Billie Letts,Literary,Literature & Fiction,"Caney Paxton wanted his cafe to have the biggest and brightest sign in Eastern Oklahoma-the ""opening soon"" part was supposed to be just a removable, painted notice. But a fateful misunderstanding gave Vietnam vet Caney the flashiest joke in the entire state. Twelve years later, the once-busy highway is dead and the sign is as worn as Caney, who hasn't ventured outside the diner since it opened. Then one blustery December day, a thirtyish Crow woman blows in with a three-legged dog in her arms and a long-buried secret on her mind. Hiring on as a carhop, Vena Takes Horse is soon shaking up business, the locals, and Caney's heart...as she teaches them all about generosity of spirit, love, and the possibility of promise-just like the sign says.Read more",Grand Central Publishing ,1999,English,320,"https://images-na.ssl-images-amazon.com/images/I/51y-9S4ixwL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060987561,I Know This Much Is True (Oprah's Book Club),Wally Lamb,Genre Fiction,Literature & Fiction,"With his stunning debut novel,She's Come Undone,Wally Lamb won the adulation of critics and readers with his mesmerizing tale of one woman's painful yet triumphant journey of self-discovery. Now, this brilliantly talented writer returns withI Know This Much Is True, a heartbreaking and poignant multigenerational saga of the reproductive bonds of destruction and the powerful force of forgiveness. A masterpiece that breathtakingly tells a story of alienation and connection, power and abuse, devastation and renewal--this novel is a contemporary retelling of an ancient Hindu myth. A proud king must confront his demons to achieve salvation.Change yourself,the myth instructs,and you will inhabit a renovated world.Read more",HarpPeren ,1999,English,912,"https://images-na.ssl-images-amazon.com/images/I/517+WnYsysL._SY344_BO1,204,203,200_.jpg"
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life & Times,James Finn Garner,Humor,Humor & Entertainment,"A whimsical adaptation of classic fairy tales and bedtimes stories removes all kinds of bias and objectionable language from such traditional tales as ""Chicken Little,"" ""Rapunzel,"" ""The Three Little Pigs,"" ""Cinderella,"" and othersRead more",John Wiley & Sons Inc Later printing edition ,1994,English,79,"https://images-na.ssl-images-amazon.com/images/I/61XKDXG16XL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
1573229326,How to Be Good,Nick Hornby,Humor,Humor & Entertainment,"A wise and hilarious novel morality and what it means to be a ""goof person"" from the bestselling author ofDickens and Prince,Just Like you,Funny GirlandHigh Fidelity.A brutally truthful, compassionate novel about the heart, mind, and soul of a woman who, confronted by her husband’s sudden and extreme spiritual conversion, is forced to learn “how to be good”—whatever that means, and for better or worse…Katie Carr is a good person…sort of. For years her husband’s been selfish, sarcastic, and underemployed.But now David’s changed. He’s become a good person, too—really good. He’s found a spiritual leader. He has become kind, soft-spoken, and earnest. Katie isn’t sure if this is deeply felt conversion, a brain tumor—or David’s most brilliantly vicious manipulation yet. Because she’s finding it more and more difficult to live with David—and with herself.Read more",Riverhead Books ,2002,English,336,"https://images-na.ssl-images-amazon.com/images/I/41PlSb4mhxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060502258,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,Genre Fiction,Literature & Fiction,"At thirty-nine, SiddaLee Walker has escaped her Louisiana hometown to become a theatrical director, but as she gathers old letters, photos, journals, and souvenirs from the Ya-Ya Sisterhood to assist in writing a play about women's friendships, she yearns to revisit her childhood and heal a rift with her mother. Reprint. (A Warner Bros. film, releasing July 12, 2002, directed by Callie Khouri, starring Sandra Bullock, Ashley Judd, Ellen Burstyn, Maggie Smith, Shirley Knight, Fionnula Flanagan, James Garner, Cherry Jones, Matthew Settle, & Angus MacFayden) (General Fiction)Read more",HarperTorch 1st ptg. edition ,2002,English,480,"https://images-na.ssl-images-amazon.com/images/I/51Dl0pHkXLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0679745203,The English Patient,Michael Ondaatje,Genre Fiction,Literature & Fiction,"With unsettling beauty and intelligence, this Golden Man Booker Prize–winning novel traces the intersection of four damaged lives in an abandoned Italian villa at the end of World War II.The nurse Hana, exhausted by death, obsessively tends to her last surviving patient. Caravaggio, the thief, tries to reimagine who he is, now that his hands are hopelessly maimed. The Indian sapper Kip searches for hidden bombs in a landscape where nothing is safe but himself. And at the center of his labyrinth lies the English patient, nameless and hideously burned, a man who is both a riddle and a provocation to his companions—and whose memories of suffering, rescue, and betrayal illuminate this book like flashes of heat lightning.Read more",Vintage Books ,1993,English,305,"https://images-na.ssl-images-amazon.com/images/I/41Lfzgk-eqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0553213105,Pride and Prejudice (Bantam Classics),Jane Austen,Family Relationships,Parenting & Relationships,"Nominated as one of America’s best-loved novels by PBS’sThe Great American Read“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So beginsPride and Prejudice,Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”Read more",Bantam Classics Reissue edition ,1983,English,352,"https://images-na.ssl-images-amazon.com/images/I/416K+gR7RLL._SY344_BO1,204,203,200_.jpg"
0345337662,Interview with the Vampire,Anne Rice,Genre Fiction,Literature & Fiction,"The spellbinding classic that started it all from the #1New York Timesbestselling author“A magnificent, compulsively readable thriller . . . Rice begins where Bram Stoker and the Hollywood versions leave off and penetrates directly to the true fascination of the myth—the education of the vampire.”—Chicago TribuneHere are the confessions of a vampire. Hypnotic, shocking, and chillingly sensual, this is a novel of mesmerizing beauty and astonishing force—a story of danger and flight, of love and loss, of suspense and resolution, and of the extraordinary power of the senses. It is a novel only Anne Rice could write.Read more",Ballantine Books Reissue edition ,1991,English,368,"https://images-na.ssl-images-amazon.com/images/I/51RSfViyd0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446606189,"Cat & Mouse (Alex Cross, 4)",James Patterson,Thrillers & Suspense,"Mystery, Thriller & Suspense","In thisNew York Timesbestseller, two killers-one operating in America, one in Europe-believe Alex Cross is the only worthy opponent in the deadly game each has planned.Gary Soneji, a dying prison escapee, is looking for revenge on Cross, while another insane killer is pursued by Thomas Augustine Pierce-a brilliant and relentless detective who may even be better than Cross. As the bodies pile up, and Cross is nearly murdered in his own home, the game of cat and mouse leads to one final trap. . .The body count is high, the tension the highest, and the two killers on the loose are watching every move their pursuers make. Who is the cat, and who is the mouse? What and where is the final trap? And who survives?Read more",Vision Reissue edition ,1998,English,480,"https://images-na.ssl-images-amazon.com/images/I/51Wa8lwhTZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312966970,"Four to Score (Stephanie Plum, No. 4) (Stephanie Plum Novels)",Janet Evanovich,Humor & Satire,Literature & Fiction,"A Featured Alternate Selection of the Literary Guild and Doubleday Book Club and a Main Selection of the Mystery GuildJanet Evanovich, bestselling author ofOne for the Money,Two for the Dough, andThree to Get Deadly, scores big withFour to Score, her most thrilling Stephanie Plum adventure yet.Working for her bail bondsman cousin Vinnie, Stephanie is hot on the trail of revenge-seeking waitress Maxine Nowicki, whose crimes include bail jumping, theft, and extortion. Someone is terrifying Maxine's friends, and those who have seen her are turning up dead. Also on the hunt for Maxine is Joyce Barnhardt, Stephanie's archenemy and rival bounty hunter.Stephanie's attitude never wavers-- even when aided by crazy Grandma Mazur, ex-hooker and wannabe bounty hunter Lula, and transvestite rock musician Sally Sweet-- and even when Stephanie makes an enemy whose deadly tactics escalate from threatening messages to firebombs. All of this pales in comparison, though, with an even greater danger Stephanie faces, when, homeless and broke, she and her hamster Rex move in with a vice cop Joe Morelli.RATED PG35 for licentious wit and libidinous cohabitation.Read more",St. Martin's Paperbacks 1998th edition ,1998,English,352,"https://images-na.ssl-images-amazon.com/images/I/51eUtRt16BL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312980140,"Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels)",Janet Evanovich,Humor & Satire,Literature & Fiction,"The smash-hit #1 bestselling author Janet Evanovich takes you on the ride of your life in the next Stephanie Plum adventure,Seven Up!Semiretired mob guy Eddie DeCooch is caught trafficking contraband cigarettes through Trenton, New Jersey. When DeCooch fails to show for a court appearance, bond enforcement agent Stephanie Plum is assigned the task of finding him and dragging his decrepit ass back to jail. Not such an easy job, it turns out, since DeCooch has learned a lot of tricks over the years and isn't afraid to use his gun. He's already shot Loretta Ricci, an innocent old lady, and left her for worm food in his shed. He wouldn't mind shooting Stephanie next.Likeable losers (and Steph's former high school classmates) Walter ""MoonMan"" Dunphy and Dougie ""The Dealer"" Kruper have inadvertently become involved with DeCooch. They've gotten sucked into an operation that is much more than simple cigarette smuggling and holds risks far greater than anyone could have imagined.When Dougie disappears, Steph goes into search mode. When Mooner disappears, she calls in the heavy artillery and asks master bounty hunter Ranger for help. Ranger's price for the job? One night with Stephanie, dusk to dawn. Not information she wants to share with her sometime live-in roommate, vice cop Joe Morelli,A typical dilemma in the world of Plum.And on the homefront, Stephanie's ""perfect"" sister, Valerie, has decided to move back to Trenton, bringing her two kids from hell with her. Grandma Mazur is asking questions about being a lesbian, and Bob, the bulimic dog, is eating everything in sight--including the furniture.Mud wrestling, motorcycles, fast cars, fast food, and fast men. It's Janet Evanovich'sSeven Up.Read more",St. Martin's Publishers 1st edition ,2002,English,368,"https://images-na.ssl-images-amazon.com/images/I/41OcWM5GrLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312966091,"Three to Get Deadly (Stephanie Plum, No. 3) (Stephanie Plum Novels)",Janet Evanovich,Humor & Satire,Literature & Fiction,"Janet Evanovich's Stephanie Plum Novels Are""Suspenseful.""---Los AngelesTimes""Terrific.""---San FranciscoChronicle""Irresistible.""---Kirkus Reviews""Thrilling.""---The Midwest Book Review""Hilariously Funny.""---USAToday""A blast of fresh air.""---The Washington Post""Inventive and fast-paced.""---The San Diego Union-Tribune""Superb.""---DetroitFree PressInThree to Get Deadly, a ""saintly"" old candy store owner is on the lam---and bounty hunter extraordinaire Stephanie Plum is on the case. As the body count rises, Stephanie finds herself dealing with dead drug dealers and slippery fugitives on the chase of her life. And with the help of eccentric friends and family, Steph must see to it that this case doesn't end up being her last. . . .Read more",St. Martin's Press ,1998,English,396,"https://images-na.ssl-images-amazon.com/images/I/41nztjN2-cL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446612790,"2nd Chance (Women's Murder Club, 2)",James Patterson,Thrillers & Suspense,"Mystery, Thriller & Suspense","The Women's Murder Club returns for another thrilling crime investigation. Will their skills be enough to take down a brutal madman?A brutal madman sprays bullets into a crowd of children leaving a San Francisco church. Miraculously-or was it intentionally?-only one person dies. Then an elderly black woman is hung. Police homicide inspector Lindsay Boxer senses a connection and together with medical examiner Claire, assistant D. A. Jill, and Chronicle reporter Cindy, finds a link that sends a chill through the entire nation. This killer's motives are unspeakable.In this ""inventive"" installment of the Women's Murder Club, James Patterson proves once again why he is the #1 master of the murder mystery (Sunday Times).Read more",Vision First Printing edition ,2003,English,432,"https://images-na.ssl-images-amazon.com/images/I/41TfkpxDgbS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345339681,The Hobbit,J.R.R. Tolkien,Genre Fiction,Literature & Fiction,"The stirring adventure that beginsThe Lord of the Rings,the greatest fantasy epic of all timeWhen Thorin Oakenshield and his band of dwarves embark upon a dangerous quest to reclaim the hoard of gold stolen from them by the evil dragon Smaug, Gandalf the wizard suggests an unlikely accomplice: Bilbo Baggins, an unassuming Hobbit dwelling in peaceful Hobbiton.Along the way, the company faces trolls, goblins, giant spiders, and worse. But as they journey from the wonders of Rivendell to the terrors of Mirkwood and beyond, Bilbo will find that there is more to him than anyone—himself included—ever dreamed. Unexpected qualities of courage and cunning, and a love of adventure, propel Bilbo toward his great destiny . . . a destiny that waits in the dark caverns beneath the Misty Mountains, where a twisted creature known as Gollum jealously guards a precious magic ring.Read more",Del Rey Revised edition ,1986,English,320,"https://images-na.ssl-images-amazon.com/images/I/513mXdExR3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
1400031362,Morality for Beautiful Girls (No. 1 Ladies Detective Agency),Alexander McCall Smith,Humor,Humor & Entertainment,"Fans around the world adore the bestselling No. 1 Ladies’ Detective Agency series and its proprietor, Precious Ramotswe, Botswana’s premier lady detective. In this charming series, Mma  Ramotswe—with help from her loyal associate, Grace Makutsi—navigates her cases and her personal life with wisdom, good humor, and the occasional cup of tea.InMorality for Beautiful Girls, Precious Ramotswe, founder and owner of the only detective agency for the concerns of both ladies and others, investigates the alleged poisoning of the brother of an important “Government Man,” and the moral character of the four finalists of the Miss Beauty and Integrity Contest, the winner of which will almost certainly be a contestant for the title of Miss Botswana. Yet her business is having money problems, and when other difficulties arise at her fiancé’s Tlokweng Road Speedy Motors, she discovers the reliable Mr J.L.B. Matekoni is more complicated then he seems.Read more",Anchor ,2002,English,227,"https://images-na.ssl-images-amazon.com/images/I/51d9biPhKJL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312282990,The Amazing Adventures of Kavalier & Clay,Michael Chabon,Genre Fiction,Literature & Fiction,"This brilliant epic novel set in New York and Prague introduces us to two misfit young men who make it big by creating comic-book superheroes. Joe Kavalier, a young artist who has also been trained in the art of Houdiniesque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America the comic book. Inspired by their own fears and dreams, Kavalier and Clay create theEscapists,The Monitor, andLuna Moth, inspired by the beautiful Rosa Saks, who will become linked by powerful ties to both men.The Amazing Adventures of Kavalier & Clayis the winner of the 2001 Pulitzer Prize for Fiction.Read more",Picador ,2000,English,639,"https://images-na.ssl-images-amazon.com/images/I/51DsykAD33L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0671042262,The Blue Nowhere: A Novel,Jeffery Deaver,Thrillers & Suspense,"Mystery, Thriller & Suspense","His code name is Phate -- a sadistic computer hacker who infiltrates people's computers, invades their lives, and with chilling precision lures them to their deaths. To stop him, the authorities free imprisoned former hacker Wyatt Gillette to aid the investigation. Teamed with old-school homicide detective Frank Bishop, Gillette must combine their disparate talents to catch a brilliant and merciless killer.Read more",Pocket Books Reprint edition ,2002,English,544,"https://images-na.ssl-images-amazon.com/images/I/51xNXP1jTcL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0684833395,Catch-22,Joseph Heller,Classics,Literature & Fiction,"Catch-22is like no other novel. It is one of the funniest books ever written, a keystone work in American literature, and even added a new term to the dictionary.At the heart ofCatch-22resides the incomparable, malingering bombardier, Yossarian, a hero endlessly inventive in his schemes to save his skin from the horrible chances of war. His efforts are perfectly understandable because as he furiously scrambles, thousands of people he hasn't even met are trying to kill him. His problem is Colonel Cathcart, who keeps raising the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempts to excuse himself from the perilous missions that he is committed to flying, he is trapped by the Great Loyalty Oath Crusade, the hilariously sinister bureaucratic rule from which the book takes its title: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes the necessary formal request to be relieved of such missions, the very act of making the request proves that he is sane and therefore ineligible to be relieved.Catch-22is a microcosm of the twentieth-century world as it might look to some one dangerously sane -- a masterpiece of our time.Read more",Simon & Schuster ,1996,English,463,"https://images-na.ssl-images-amazon.com/images/I/51eW-wH1K-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446675539,Gone with the Wind,Margaret Mitchell,Genre Fiction,Literature & Fiction,"The tumultuous romance of Scarlett O'Hara and Rhett Butler is set against the backdrop of the elegance of the antebellum South, the ravages of the Civil War, and the desperate struggle of Reconstruction. Reprint.Read more",Grand Central Publishing Reprint edition ,1999,English,1056,"https://images-na.ssl-images-amazon.com/images/I/51kR-F+oHQL._SY344_BO1,204,203,200_.jpg"
0553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,Classics,Literature & Fiction,"Introduction by Joyce Carol Oates • Nominated as one of America’s best-loved novels by PBS’sThe Great American ReadInitially published under the pseudonym Currer Bell in 1847, Charlotte Brontë’sJane Eyreerupted onto the English literary scene, immediately winning the devotion of many of the world’s most renowned writers, including William Makepeace Thackeray, who declared it a work “of great genius.” Widely regarded as a revolutionary novel, Brontë’s masterpiece introduced the world to a radical new type of heroine, one whose defiant virtue and moral courage departed sharply from the more acquiescent and malleable female characters of the day. Passionate, dramatic, and surprisingly modern,Jane Eyreendures as one of the world’s most beloved novels.Read more",Bantam Classics ,1983,English,492,"https://images-na.ssl-images-amazon.com/images/I/51poYFyvtWL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Fantasy,Science Fiction & Fantasy,"A special 25th anniversary hardcover edition of the multi-million-copy-bestselling novel and basis of the Tony Award–winning musical.This is the book that started it all! The basis for the smash hit Tony Award-winning Broadway musical, Gregory Maguire's breathtakingNew York TimesbestsellerWickedviews the land of Oz, its inhabitants, its Wizard, and the Emerald City, through a darker and greener (not rosier) lens. Brilliantly inventive,Wickedoffers us a radical new evaluation of one of the most feared and hated characters in all of literature: the much maligned Wicked Witch of the West who, as Maguire tells us, wasn’t nearly asWickedas we imagined.Read more",William Morrow Paperbacks ,2000,English,448,"https://images-na.ssl-images-amazon.com/images/I/51qM3HPhMVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
